BUCARDE AIGUILLONNÉE;Acanthocardia aculeata
BUCARDE ROUGE;Acanthocardia echinata
BUCARDE TUBERCULEE;Acanthocardia tuberculata
CASSERON COMMUN;Alloteuthis subulata
RENARD;Alopias vulpinus
ALOSE FEINTE;Alosa fallax
ANÉMONE DE MER;Anemonia sulcata
ANGUILLE D'EUROPE;Anguilla anguilla
BARBIER-HIRONDELLE;Anthias anthias
SABRE NOIR;Aphanopus carbo
EPERLAN (LUISET);Argentina sphyraena
PETITE ARGENTINE;Argentina sphyraena
MAIGRE;Argyrosomus regius
GAMBON ROUGE;Aristaeomorpha foliacea
CREVETTE ROUGE;Aristeus antennatus
BONITOU;Auxis rochei
AUXIDE;Auxis thazard
BALISTE CABRI;Balistes carolinensis
SOLE DES PROFONDEURS;Bathysolea profundicola
ORPHIE;Belone belone
BERYX COMMUN;Beryx decadactylus
BERYX LONG;Beryx splendens
MUREX OU ROCHER;Bolinus brandaris
BOGUE;Boops Boops
ROMBOU PODAS;Bothus podas
GRANDES CASTAGNOLE;Brama brama
BULOT;Buccinum undatum
PETITE SOLE JAUNE;Buglossidium luteum
VERNIS FAUVE;Callista chione
LICHIE LIRIO;Campogramma glaycos
TOURTEAU DENTÉ;Cancer bellianus
TOURTEAU POUPART;Cancer pagurus
Sanglier;Capros aper
COMÈTE COUSSUT;Caranx rhonchus
REQUIN SOMBRE;Carcharhinus obscurus
PUNTILLA;
SQUALE CHAGRIN COMMUN;Centrophorus granulosus
CÉPOLE COMMUNE;Cepola macrophthalma
COQUE GLAUQUE;Cerastoderma glaucum
COQUE COMMUNE;Cerstoderma edule
PÈLERIN;Cetorhinus maximus
PETITE PRAIRE;Chamelea gallina
GRONDIN ROUGE;Chelidonichthys cuculus
GRONDIN PERLON;Chelidonichthys lucerna
GRONDIN MORRUDE;Chelidonichthys obscurus
MULET LIPPU;Chelon labrosus
CHIMÈRE COMMUNE;Chimaera monstrosa
CHINCHARD;Chinchard sp
GIGARTINA;Chondracanthus sp
